Month,Number
2016/1,7835
2016/2,7307
2016/3,8199
2016/4,8101
2016/5,8578
2016/6,8558
2016/7,8618
2016/8,8938
2016/9,8521
2016/10,8582
2016/11,7922
2016/12,7951
2017/1,7991
2017/2,7408
2017/3,8179
2017/4,8069
2017/5,8715
2017/6,8985
2017/7,9075
2017/8,9206
2017/9,8940
2017/10,8846
2017/11,7935
2017/12,7535
2018/1,7846
2018/2,6992
2018/3,7842
2018/4,7996
2018/5,9059
2018/6,8995
2018/7,8762
2018/8,8862
2018/9,8553
2018/10,8434
2018/11,7682
2018/12,7704
2019/1,7796
2019/2,6930
2019/3,7830
2019/4,7622
2019/5,8670
2019/6,8438
2019/7,8913
2019/8,9231
2019/9,8543
2019/10,8476
2019/11,7864
2019/12,7800
2020/1,7952
2020/2,7402
2020/3,7234
2020/4,5813
2020/5,7123
2020/6,7559
2020/7,7907
2020/8,8351
2020/9,8118
2020/10,8332
2020/11,7211
2020/12,7863
