"","Date","Count"
"36",2016-01-01,354
"637",2016-01-02,260
"731",2016-01-03,192
"329",2016-01-04,226
"621",2016-01-05,261
"689",2016-01-06,262
"506",2016-01-07,305
"695",2016-01-08,287
"563",2016-01-09,228
"6",2016-01-10,184
"531",2016-01-11,243
"74",2016-01-12,271
"729",2016-01-13,238
"463",2016-01-14,277
"677",2016-01-15,320
"555",2016-01-16,238
"613",2016-01-17,187
"680",2016-01-18,231
"675",2016-01-19,240
"722",2016-01-20,243
"614",2016-01-21,237
"725",2016-01-22,265
"709",2016-01-23,248
"721",2016-01-24,194
"730",2016-01-25,237
"651",2016-01-26,255
"705",2016-01-27,259
"724",2016-01-28,272
"301",2016-01-29,298
"714",2016-01-30,270
"600",2016-01-31,253
"131",2016-02-01,326
"162",2016-02-02,300
"699",2016-02-03,247
"728",2016-02-04,256
"348",2016-02-05,232
"683",2016-02-06,244
"726",2016-02-07,212
"340",2016-02-08,166
"727",2016-02-09,237
"658",2016-02-10,263
"681",2016-02-11,240
"636",2016-02-12,265
"707",2016-02-13,199
"720",2016-02-14,197
"355",2016-02-15,243
"363",2016-02-16,267
"573",2016-02-17,263
"319",2016-02-18,234
"715",2016-02-19,284
"706",2016-02-20,286
"723",2016-02-21,238
"690",2016-02-22,267
"507",2016-02-23,247
"718",2016-02-24,227
"549",2016-02-25,291
"650",2016-02-26,269
"557",2016-02-27,306
"700",2016-02-28,224
"717",2016-02-29,277
"272",2016-03-01,277
"691",2016-03-02,218
"666",2016-03-03,244
"623",2016-03-04,254
"662",2016-03-05,218
"654",2016-03-06,226
"490",2016-03-07,267
"693",2016-03-08,251
"711",2016-03-09,277
"337",2016-03-10,245
"610",2016-03-11,260
"639",2016-03-12,295
"665",2016-03-13,277
"698",2016-03-14,255
"601",2016-03-15,258
"612",2016-03-16,279
"378",2016-03-17,266
"708",2016-03-18,305
"702",2016-03-19,286
"655",2016-03-20,308
"644",2016-03-21,237
"719",2016-03-22,296
"78",2016-03-23,260
"254",2016-03-24,281
